word, count, percent, cum
und, 2388, 4.32, 4.32
die, 1872, 3.39, 7.71
sie, 1514, 2.74, 10.45
der, 1334, 2.41, 12.86
das, 847, 1.53, 14.40
in, 814, 1.47, 15.87
es, 739, 1.34, 17.21
den, 660, 1.19, 18.40
er, 595, 1.08, 19.48
war, 590, 1.07, 20.54
auf, 522, 0.94, 21.49
zu, 517, 0.94, 22.42
dem, 479, 0.87, 23.29
sich, 478, 0.86, 24.16
ein, 476, 0.86, 25.02
mit, 455, 0.82, 25.84
nicht, 440, 0.80, 26.64
aber, 429, 0.78, 27.41
so, 411, 0.74, 28.16
ich, 378, 0.68, 28.84
sagte, 351, 0.64, 29.48
wie, 346, 0.63, 30.10
als, 302, 0.55, 30.65
da, 295, 0.53, 31.18
von, 294, 0.53, 31.71
eine, 288, 0.52, 32.24
ist, 281, 0.51, 32.74
daß, 270, 0.49, 33.23
du, 260, 0.47, 33.70
ihr, 254, 0.46, 34.16
hatte, 244, 0.44, 34.60
nun, 237, 0.43, 35.03
an, 213, 0.39, 35.42
kleine, 207, 0.37, 35.79
im, 207, 0.37, 36.17
dann, 203, 0.37, 36.54
einen, 202, 0.37, 36.90
noch, 190, 0.34, 37.24
aus, 188, 0.34, 37.58
nur, 176, 0.32, 37.90
, 172, 0.31, 38.21
doch, 168, 0.30, 38.52
um, 166, 0.30, 38.82
denn, 166, 0.30, 39.12
auch, 160, 0.29, 39.41
über, 156, 0.28, 39.69
waren, 152, 0.28, 39.97
alle, 147, 0.27, 40.23
wir, 146, 0.26, 40.50
des, 141, 0.26, 40.75
nach, 139, 0.25, 41.00
was, 134, 0.24, 41.25
ihn, 134, 0.24, 41.49
vor, 132, 0.24, 41.73
wurde, 131, 0.24, 41.96
einem, 129, 0.23, 42.20
man, 118, 0.21, 42.41
wo, 115, 0.21, 42.62
konnte, 114, 0.21, 42.83
ihm, 114, 0.21, 43.03
wieder, 113, 0.20, 43.24
alte, 113, 0.20, 43.44
mir, 112, 0.20, 43.64
ganz, 111, 0.20, 43.84
kleinen, 110, 0.20, 44.04
ja, 110, 0.20, 44.24
ihre, 110, 0.20, 44.44
sein, 105, 0.19, 44.63
blumen, 105, 0.19, 44.82
„ich, 101, 0.18, 45.00
gerade, 100, 0.18, 45.18
gerda, 94, 0.17, 45.35
stand, 92, 0.17, 45.52
kam, 91, 0.16, 45.69
hier, 91, 0.16, 45.85
wenn, 90, 0.16, 46.01
am, 89, 0.16, 46.17
großen, 88, 0.16, 46.33
ging, 88, 0.16, 46.49
einer, 85, 0.15, 46.65
alten, 84, 0.15, 46.80
mich, 83, 0.15, 46.95
für, 82, 0.15, 47.10
welche, 80, 0.14, 47.24
mehr, 80, 0.14, 47.39
bei, 74, 0.13, 47.52
sah, 73, 0.13, 47.65
ob, 73, 0.13, 47.79
schon, 72, 0.13, 47.92
bis, 72, 0.13, 48.05
unter, 71, 0.13, 48.17
seine, 71, 0.13, 48.30
durch, 71, 0.13, 48.43
dort, 71, 0.13, 48.56
augen, 71, 0.13, 48.69
wäre, 70, 0.13, 48.81
wohl, 70, 0.13, 48.94
selbst, 70, 0.13, 49.07
„das, 69, 0.12, 49.19
ihnen, 69, 0.12, 49.32
fragte, 69, 0.12, 49.44
zum, 68, 0.12, 49.57
kann, 68, 0.12, 49.69
gar, 68, 0.12, 49.81
ihren, 67, 0.12, 49.93
mädchen, 66, 0.12, 50.05
lag, 65, 0.12, 50.17
haben, 64, 0.12, 50.29
ganze, 64, 0.12, 50.40
dich, 64, 0.12, 50.52
andern, 64, 0.12, 50.63
sonne, 63, 0.11, 50.75
etwas, 63, 0.11, 50.86
welches, 62, 0.11, 50.97
darauf, 62, 0.11, 51.09
saß, 61, 0.11, 51.20
hat, 60, 0.11, 51.30
frau, 60, 0.11, 51.41
weit, 59, 0.11, 51.52
jetzt, 59, 0.11, 51.63
sind, 58, 0.10, 51.73
zur, 56, 0.10, 51.83
wollte, 55, 0.10, 51.93
alles, 55, 0.10, 52.03
welt, 54, 0.10, 52.13
sehen, 54, 0.10, 52.23
rief, 54, 0.10, 52.33
große, 54, 0.10, 52.42
fenster, 54, 0.10, 52.52
sollte, 53, 0.10, 52.62
sehr, 53, 0.10, 52.71
kinder, 53, 0.10, 52.81
„ja, 52, 0.09, 52.90
wasser, 52, 0.09, 53.00
hinaus, 52, 0.09, 53.09
däumelieschen, 52, 0.09, 53.18
will, 51, 0.09, 53.28
werden, 51, 0.09, 53.37
niemand, 51, 0.09, 53.46
kay, 51, 0.09, 53.55
dir, 50, 0.09, 53.64
vom, 49, 0.09, 53.73
standen, 49, 0.09, 53.82
sagten, 49, 0.09, 53.91
immer, 49, 0.09, 54.00
ihrem, 49, 0.09, 54.09
dachte, 49, 0.09, 54.18
nie, 48, 0.09, 54.26
arme, 48, 0.09, 54.35
schön, 47, 0.09, 54.44
ihrer, 47, 0.09, 54.52
hatten, 47, 0.09, 54.61
fort, 47, 0.09, 54.69
bin, 47, 0.09, 54.78
knabe, 46, 0.08, 54.86
hätte, 46, 0.08, 54.94
hinein, 46, 0.08, 55.03
hause, 46, 0.08, 55.11
gut, 46, 0.08, 55.19
eines, 46, 0.08, 55.27
diese, 46, 0.08, 55.36
seinem, 45, 0.08, 55.44
roten, 45, 0.08, 55.52
zwei, 44, 0.08, 55.60
prinzessin, 44, 0.08, 55.68
könig, 44, 0.08, 55.76
habe, 44, 0.08, 55.84
„aber, 43, 0.08, 55.92
wußte, 43, 0.08, 56.00
wurden, 43, 0.08, 56.07
wird, 43, 0.08, 56.15
nachtigall, 43, 0.08, 56.23
nacht, 43, 0.08, 56.31
kamen, 43, 0.08, 56.38
einmal, 43, 0.08, 56.46
baum, 43, 0.08, 56.54
„nun, 42, 0.08, 56.62
seinen, 42, 0.08, 56.69
nahm, 42, 0.08, 56.77
mutter, 42, 0.08, 56.84
ganzen, 42, 0.08, 56.92
uns, 41, 0.07, 56.99
oder, 41, 0.07, 57.07
groß, 41, 0.07, 57.14
damit, 41, 0.07, 57.22
nichts, 40, 0.07, 57.29
draußen, 40, 0.07, 57.36
allen, 40, 0.07, 57.43
mußte, 39, 0.07, 57.50
meine, 39, 0.07, 57.57
mann, 39, 0.07, 57.65
hoch, 39, 0.07, 57.72
erde, 39, 0.07, 57.79
seiner, 38, 0.07, 57.86
gegen, 38, 0.07, 57.92
erzählte, 37, 0.07, 57.99
abend, 37, 0.07, 58.06
soldat, 36, 0.07, 58.12
setzte, 36, 0.07, 58.19
oben, 36, 0.07, 58.25
mitten, 36, 0.07, 58.32
kaiser, 36, 0.07, 58.38
hin, 36, 0.07, 58.45
hand, 36, 0.07, 58.51
andere, 36, 0.07, 58.58
welcher, 35, 0.06, 58.64
weiß, 35, 0.06, 58.71
garten, 35, 0.06, 58.77
flog, 35, 0.06, 58.83
„du, 34, 0.06, 58.89
erst, 34, 0.06, 58.96
elise, 34, 0.06, 59.02
„es, 33, 0.06, 59.08
weil, 33, 0.06, 59.14
tag, 33, 0.06, 59.20
muß, 33, 0.06, 59.26
gewesen, 33, 0.06, 59.32
entlein, 33, 0.06, 59.38
während, 32, 0.06, 59.43
viele, 32, 0.06, 59.49
schuhe, 32, 0.06, 59.55
plötzlich, 32, 0.06, 59.61
lange, 32, 0.06, 59.66
können, 32, 0.06, 59.72
königin, 32, 0.06, 59.78
knaben, 32, 0.06, 59.84
kleines, 32, 0.06, 59.90
hielt, 32, 0.06, 59.95
dabei, 32, 0.06, 60.01
zog, 31, 0.06, 60.07
thüre, 31, 0.06, 60.12
kopf, 31, 0.06, 60.18
kein, 31, 0.06, 60.24
grünen, 31, 0.06, 60.29
gott, 31, 0.06, 60.35
blume, 31, 0.06, 60.40
vogel, 30, 0.05, 60.46
schloß, 30, 0.05, 60.51
luft, 30, 0.05, 60.57
brüder, 30, 0.05, 60.62
allein, 30, 0.05, 60.68
zweige, 29, 0.05, 60.73
seite, 29, 0.05, 60.78
schlug, 29, 0.05, 60.83
sang, 29, 0.05, 60.89
morgen, 29, 0.05, 60.94
hinunter, 29, 0.05, 60.99
gesehen, 29, 0.05, 61.04
geschichte, 29, 0.05, 61.10
bist, 29, 0.05, 61.15
„sie, 28, 0.05, 61.20
zinnsoldat, 28, 0.05, 61.25
weg, 28, 0.05, 61.30
wald, 28, 0.05, 61.35
sandmann, 28, 0.05, 61.40
recht, 28, 0.05, 61.45
o, 28, 0.05, 61.50
mein, 28, 0.05, 61.55
legte, 28, 0.05, 61.60
keine, 28, 0.05, 61.66
hast, 28, 0.05, 61.71
flogen, 28, 0.05, 61.76
euch, 28, 0.05, 61.81
deshalb, 28, 0.05, 61.86
demselben, 28, 0.05, 61.91
weiter, 27, 0.05, 61.96
viel, 27, 0.05, 62.01
kommt, 27, 0.05, 62.06
kleiner, 27, 0.05, 62.10
herz, 27, 0.05, 62.15
„und, 26, 0.05, 62.20
„die, 26, 0.05, 62.25
schwalbe, 26, 0.05, 62.29
schlosse, 26, 0.05, 62.34
schien, 26, 0.05, 62.39
picjpg, 26, 0.05, 62.44
kannst, 26, 0.05, 62.48
jungen, 26, 0.05, 62.53
ida, 26, 0.05, 62.58
hjalmar, 26, 0.05, 62.62
zwischen, 25, 0.05, 62.67
wollen, 25, 0.05, 62.71
weißen, 25, 0.05, 62.76
warmen, 25, 0.05, 62.80
stube, 25, 0.05, 62.85
still, 25, 0.05, 62.89
sommer, 25, 0.05, 62.94
sobald, 25, 0.05, 62.99
schwäne, 25, 0.05, 63.03
schneekönigin, 25, 0.05, 63.08
rosen, 25, 0.05, 63.12
menschen, 25, 0.05, 63.17
langen, 25, 0.05, 63.21
küßte, 25, 0.05, 63.26
konnten, 25, 0.05, 63.30
kind, 25, 0.05, 63.35
hund, 25, 0.05, 63.39
gleich, 25, 0.05, 63.44
fiel, 25, 0.05, 63.48
engel, 25, 0.05, 63.53
einige, 25, 0.05, 63.57
dieser, 25, 0.05, 63.62
bald, 25, 0.05, 63.66
